#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          14.3            0        0.185        0.015  # 1962,F.Gabbard+          ## 11494011  #dY:8.1%   
          14.3            0        0.134        0.046  # 1982,M.Viennot+          ## 30644018  #dY:34.3%  
          14.3         0.14          0.2        0.008  # 1991,M.Viennot+          ## 30978030  #dY:4.0%   
        14.327        0.052       0.1641    0.0064984  # 2007,W.Mannhart+         ## 22976028  #dY:4.0%   
         14.37        0.075        0.177      0.01416  # 1962,E.Weigold+          ## 31110005  #dY:8.0%   
          14.4         0.15         0.21         0.02  # 1968,N.Ranakumar+        ## 11515007  #dY:9.5%   
         14.47            0        0.154        0.053  # 1982,M.Viennot+          ## 30644018  #dY:34.4%  
         14.47         0.17        0.191        0.008  # 1991,M.Viennot+          ## 30978030  #dY:4.2%   
          14.5        0.075        0.178         0.01  # 1972,D.C.Santry+         ## 10224005  #dY:5.6%   
          14.5            0        0.386       0.0579  # 1953,E.B.Paul+           ## 11274037  #dY:15.0%  
          14.5            0         0.22        0.015  # 1962,F.Gabbard+          ## 11494011  #dY:6.8%   
          14.5          0.3        0.171         0.01  # 1995,D.Kielan+           ## 31460002  #dY:5.8%   
         14.51            0       0.2174       0.0194  # 1994,N.I.Molla+          ## 31449011  #dY:8.9%   
         14.59          0.1        0.164      0.01312  # 1962,E.Weigold+          ## 31110005  #dY:8.0%   
          14.6          0.1        0.147         0.01  # 1969,R.C.Barrall+        ## 10022017  #dY:6.8%   
          14.6            0        0.147        0.011  # 1976,R.A.Sigg            ## 10776006  #dY:7.5%   
          14.6          0.1         0.14         0.04  # 1991,A.Ercan+            ## 22338017  #dY:28.6%  
          14.6            0       0.2926       0.0092  # 1973,J.Dresler+          ## 30263011  #dY:3.1%   
         14.64            0       0.1353       0.0087  # 1993,C.Konno+            ## 22637007  #dY:6.4%   
         14.65          0.1        0.134        0.004  # 1999,Xiaolong Huang+     ## 31500002  #dY:3.0%   
